"index","pe","weight","avg"
2136,7,7,1
2137,7,7,1
2138,7,7,1
2139,7,7,1
214,16,16,1
2140,7,7,1
2141,7,7,1
2142,7,7,1
2143,7,7,1
2144,18,18,1
2145,7,7,1
2146,7,7,1
2147,7,7,1
2148,7,7,1
2149,7,7,1
215,13,15,1.15384615384615
2150,7,7,1
2151,7,7,1
2152,7,7,1
2153,7,7,1
2154,7,7,1
2155,7,7,1
2156,11,11,1
2157,7,7,1
2158,7,7,1
2159,7,7,1
216,4,4,1
2160,11,11,1
2161,7,7,1
2162,7,7,1
2163,7,7,1
2164,7,7,1
2165,7,7,1
2166,9,9,1
2167,7,7,1
2168,7,7,1
2169,7,7,1
217,4,4,1
2170,7,7,1
2171,7,7,1
2172,7,7,1
2173,7,7,1
2174,7,7,1
2175,7,7,1
2176,7,7,1
2177,7,7,1
2178,7,7,1
2179,7,7,1
218,4,4,1
2180,7,7,1
2181,7,7,1
2182,7,7,1
2183,7,7,1
2184,7,7,1
2185,7,7,1
2186,7,7,1
2187,7,7,1
2188,7,7,1
2189,7,7,1
219,4,4,1
2190,7,7,1
2191,7,7,1
2192,7,7,1
2193,7,7,1
2194,7,7,1
2195,7,7,1
2196,7,7,1
2197,7,7,1
2198,7,7,1
2199,7,7,1
22,5,5,1
220,9,9,1
2200,7,7,1
2201,12,12,1
2202,7,7,1
2203,7,7,1
2204,7,7,1
2205,7,7,1
2206,13,13,1
2207,7,7,1
2208,7,7,1
2209,7,7,1
221,4,4,1
2210,7,7,1
2211,7,7,1
2212,7,7,1
2213,7,7,1
2214,7,7,1
2215,7,7,1
2216,7,7,1
2217,7,7,1
2218,7,7,1
2219,7,7,1
222,4,4,1
2220,7,7,1
2221,7,7,1
2222,7,7,1
2223,7,7,1
2224,7,7,1
2225,7,7,1
2226,7,7,1
2227,7,7,1
2228,7,7,1
2229,10,10,1
223,4,4,1
2230,10,10,1
2231,7,7,1
2232,7,7,1
2233,7,7,1
2234,7,7,1
2235,7,7,1
2236,7,7,1
2237,7,7,1
2238,7,7,1
2239,7,7,1
224,4,4,1
2240,7,7,1
2241,7,7,1
2242,7,7,1
2243,11,11,1
2244,7,7,1
2245,7,7,1
2246,7,7,1
2247,7,7,1
2248,7,7,1
2249,7,7,1
225,4,4,1
2250,7,7,1
2251,7,7,1
2252,7,7,1
2253,7,7,1
