Date, Evolution,Number of Functions Change,Number of Variables Change,Function(+),Variable(+),Function(-),Variable(-),Modifier Change(Var.),Especifier Change(Var.),Qualifier Change(Var.),Type Change(Var.),Function Return Change,	Modifier Change (Func.), Specifier Change (Func.),Qualifier Change (Func.),Parameters Change (Func.)
24-05-2011 02:07:55,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-05-2011 04:22:35,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-05-2011 04:41:01,273,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0
25-05-2011 04:58:24,274,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0
25-05-2011 01:26:22,275,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0
25-05-2011 02:16:41,276,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0
25-05-2011 02:38:56,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-05-2011 04:07:32,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-05-2011 05:59:01,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-05-2011 04:28:48,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-05-2011 05:18:39,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-05-2011 05:21:24,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-05-2011 05:18:45,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-05-2011 05:20:25,284,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
29-05-2011 05:32:20,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-05-2011 12:30:20,286,2,0,60,0,0,0,0,0,0,0,0,0,0,0,0
30-05-2011 09:53:18,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-05-2011 10:40:07,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-05-2011 01:09:10,289,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0
